Name,Links,Cost,Cuisines,Timings,Cost_clean,cuisine_primary,_mkey,num_reviews,avg_sentiment,level_1,sentiment_score,pct_positive,pct_negative,avg_rating,num_cuisines,cuisine_north indian,cuisine_chinese,cuisine_continental,cuisine_biryani,cuisine_asian,cuisine_italian,cuisine_fast food,cuisine_desserts,cuisine_south indian,cuisine_kebab,is_open_late,price_per_star,sentiment_rating_gap,popularity_score,value_score,review_engagement,cuisine_diversity,kmeans_cluster,hierarchical_cluster
Beyond Flavours,https://www.zomato.com/hyderabad/beyond-flavours-gachibowli,800,"Chinese, Continental, Kebab, European, South Indian, North Indian","12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)",800,Chinese,beyond flavours,100,0.0,pct_positive,0.0,0,0,4.28,6,1,1,1,0,0,0,0,0,1,1,1,186.91584417854105,-1.7800000000000002,214.0,0.6401568016038246,0.12484394506866417,25.68,0,4
Beyond Flavours,https://www.zomato.com/hyderabad/beyond-flavours-gachibowli,800,"Chinese, Continental, Kebab, European, South Indian, North Indian","12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)",800,Chinese,beyond flavours,100,0.0,pct_negative,0.0,0,0,4.28,6,1,1,1,0,0,0,0,0,1,1,1,186.91584417854105,-1.7800000000000002,214.0,0.6401568016038246,0.12484394506866417,25.68,0,4
Paradise,https://www.zomato.com/hyderabad/paradise-gachibowli,800,"Biryani, North Indian, Chinese",11 AM to 11 PM,800,Biryani,paradise,100,0.0,pct_positive,0.0,0,0,4.7,3,1,1,0,1,0,0,0,0,0,0,0,170.2127297419724,-2.2,235.0,0.7029759269948541,0.12484394506866417,14.100000000000001,4,2
Paradise,https://www.zomato.com/hyderabad/paradise-gachibowli,800,"Biryani, North Indian, Chinese",11 AM to 11 PM,800,Biryani,paradise,100,0.0,pct_negative,0.0,0,0,4.7,3,1,1,0,1,0,0,0,0,0,0,0,170.2127297419724,-2.2,235.0,0.7029759269948541,0.12484394506866417,14.100000000000001,4,2
Flechazo,https://www.zomato.com/hyderabad/flechazo-gachibowli,1300,"Asian, Mediterranean, North Indian, Desserts","11:30 AM to 4:30 PM, 6:30 PM to 11 PM",1300,Asian,flechazo,100,0.004215,pct_positive,0.01,0,0,4.66,4,1,0,0,0,1,0,0,1,0,0,1,278.9698972167602,-2.1494625,233.98209500000002,0.649849647517737,0.07686395080707148,18.64,4,2
Flechazo,https://www.zomato.com/hyderabad/flechazo-gachibowli,1300,"Asian, Mediterranean, North Indian, Desserts","11:30 AM to 4:30 PM, 6:30 PM to 11 PM",1300,Asian,flechazo,100,0.004215,pct_negative,0.0,0,0,4.66,4,1,0,0,0,1,0,0,1,0,0,1,278.9698972167602,-2.1494625,233.98209500000002,0.649849647517737,0.07686395080707148,18.64,4,2
Shah Ghouse Hotel & Restaurant,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-gachibowli,800,"Biryani, North Indian, Chinese, Seafood, Beverages",12 Noon to 2 AM,800,Biryani,shah ghouse hotel restaurant,100,0.009259,pct_positive,0.02,0,0,3.21,5,1,1,0,1,0,0,0,0,0,0,0,249.22110616164917,-0.6868525000000001,161.98606949999999,0.4801176012028684,0.12484394506866417,16.05,2,1
Shah Ghouse Hotel & Restaurant,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-gachibowli,800,"Biryani, North Indian, Chinese, Seafood, Beverages",12 Noon to 2 AM,800,Biryani,shah ghouse hotel restaurant,100,0.009259,pct_negative,0.0,0,0,3.21,5,1,1,0,1,0,0,0,0,0,0,0,249.22110616164917,-0.6868525000000001,161.98606949999999,0.4801176012028684,0.12484394506866417,16.05,2,1
Over The Moon Brew Company,https://www.zomato.com/hyderabad/over-the-moon-brew-company-gachibowli,1200,"Asian, Continental, North Indian, Chinese, Mediterranean","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",1200,Asian,over the moon brew company,100,0.0,pct_positive,0.0,0,0,4.34,5,1,1,1,0,1,0,0,0,0,0,0,276.4976321434027,-1.8399999999999999,217.0,0.6120511326254338,0.08326394671107411,21.7,1,2
Over The Moon Brew Company,https://www.zomato.com/hyderabad/over-the-moon-brew-company-gachibowli,1200,"Asian, Continental, North Indian, Chinese, Mediterranean","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",1200,Asian,over the moon brew company,100,0.0,pct_negative,0.0,0,0,4.34,5,1,1,1,0,1,0,0,0,0,0,0,276.4976321434027,-1.8399999999999999,217.0,0.6120511326254338,0.08326394671107411,21.7,1,2
